Group Description,Group Code
Real estate activities on a fee or contract basis,682
Legal activities,691
"Accounting, bookkeeping and auditing activities; tax consultancy",692
Activities of head offices,701
Management consultancy activities,702
Architectural and engineering activities and related technical consultancy,711
Technical testing and analysis,712
Research and experimental development on natural sciences and engineering,721
Research and experimental development on social sciences and humanities,722
Research and experimental development in information technology,723
Advertising,731
Market research and public opinion polling,732
Specialized design activities,741
Photographic activities,742
"Other professional, scientific and technical activities, n.e.c.",749
Veterinary activities,750
"Renting and leasing of motor vehicles (except motorcycle, caravans, campers)",771
"Renting and leasing of personal and household goods

This group includes the renting of personal and household goods as well as renting of recreational and sports equipment and video tapes. Activities generally include short-term renting of goods although in some instances, the goods may be leased for longer periods of time.",772
"Renting and leasing of other machinery, equipment and tangible goods",773
"Leasing of intellectual property and similar products, except copyrighted works",774
Activities of employment placement agencies,781
Temporary employment agency activities,782
Other human resources provision,783
"Travel agency and tour operator activities

This group includes the activities of agencies, primarily engaged in selling travel, tour, transportation and accommodation services to the general public and commercial clients and the activity of arranging and assembling tours that are sold through travel agencies or directly by agents such as tour operators.",791
Other reservation service and related activities,799
Private security activities,801
Security systems service activities,802
Investigation activities,803
Combined facilities support activities,811
"Cleaning activities

This group includes the activities of general interior cleaning of all types of buildings, exterior cleaning of buildings, specialized cleaning activities for buildings or other specialized cleaning activities, cleaning of industrial machinery, cleaning of the inside of road and sea tankers, disinfecting and extermination activities for buildings and industrial machinery, bottle cleaning, street sweeping.
This group excludes :
Agricultural pest control, see 0153;
Cleaning of new buildings immediately after construction, see 4330.
Steam-cleaning, sand blasting and similar activities for building exteriors, see 4390.
Carpet and rug shampooing, drapery and curtain cleaning, see 9621.",812
Landscape care and maintenance service activities,813
"Office administrative and support activities

This group includes the provision of a range of day-to-day office administrative services, such as financial planning, billing and record keeping, personnel and physical distribution and logistics for others on a contract or fee basis.
This group includes also support activities for others on a contract or fee basis, that are ongoing routine business support functions that businesses and organizations traditionally do for themselves.
Units classified in this group do not provide operating staff to carry out the complete operations of a business. Units engaged in one particular aspect of these activities are classified according to that particular activity.",821
Call centers and other related activities,822
Organization of conventions and trade shows,823
"Business support service activities, n.e.c.

This group includes the activities of collection agencies, credit bureaus and all support activities typically provided to businesses not elsewhere classified.",829
"Education

This group includes general administration (e.g. executive, legislative, financial administration etc. at all levels of government) and supervision in the field of social and economic life.",841
"Provision of services to the community as a whole

This group includes foreign affairs, defense and public order and safety activities.",842
Compulsory social security activities,843
"Pre-primary/pre-school education

This group include activities to prepare young children to the first level of education, second stage. Such programs are directed mainly towards children becoming accustomed to group activities such as singing, dancing, participation in rhythm groups and group games to promote healthy and socially desirable habits. Also stressed is the development of skills in handling coloring, molding, lettering and similar materials as well as simple tools. Introduction to basic educational programs includes readiness in the learning areas. The entry to this level of education may begin at age three or four. The pre-primary/pre-school level may last from one to four years.
Also included in this group are programs covering the initial stages of organized instruction for special children including the gifted and those who, due to mental, psycho-social or physical handicaps, are unable to participate in the same groups along with other children. Programs for the differently-abled children while having the same objectives as the core program, may be given in hospitals or in special schools or training centers or special classes in regular schools. Age of entry at this level cannot be specified for special children and the differently-abled.",851
"Primary/elementary  education

Elementary education refers to the stage of compulsory formal education primarily concerned with providing basic education, and usually corresponding to six or seven grades.
The core at this level consists of education for children, the customary or normal age of entrance to which is seven years. Programs in this level are designed to give the pupils a sound basic education in reading, writing, and arithmetic along with an elementary understanding of other subject areas such as social studies, science, arts and music, practical arts, and values education.
This group also includes special education for children with special needs, e.g., the gifted and the mentally, psycho-socially and differently-abled.",852
"Secondary/High School Education

This group includes formal education following the elementary education level usually corresponding to four years of high school, concerned primarily with continuing basic education and expanding it to prepare the students for higher education and/or the world of work through the acquisition of employable/gainful skills. The students at this level normally begin at age 13.
Also included is the special education for exceptional students including the gifted, the mentally, psycho-socially and differently-abled which is similar to that at the first level but more advanced in terms of subject matter.",853
Higher education,854
"Other education services

This group includes general continuing education and continuing vocational education and training for any profession. Instruction my be oral or written and may be provided in classrooms or by radio, television, Internet, correspondence or other means of communication. This group also includes the provision of instruction in athletic activities to groups or individuals, foreign language instructions, instruction in the arts, drama or music or other instruction or specialized training, not comparable to the education in groups 851-853.
This group excludes provision of primary education, secondary education or higher education, see group 852, 853 and 854.",855
Educational support services,856
"Hospital activities

This class includes :
Short-or long-term hospital activities, i.e. medical, diagnostic and treatment activities, of general hospitals (e.g. community and regional hospitals, hospital of non-profit organizations, university hospitals, military-base and prison hospitals) and specialized hospitals (e.g. mental health and substance abuse hospitals, hospitals for infectious diseases, maternity hospitals, specialized sanitaria).
The activities which are chiefly directed to inpatients are carried out under the direct supervision of medical doctors and include :
services of medical and paramedical staff
services of laboratory and technical facilities, including radiologic and anaesthesiologic services
emergency room services
provision of operating room services, pharmacy services, food and other hospital services
services of family planning centers providing medical treatment such as sterilization and termination of pregnancy, with accommodation.
This class excludes :
Laboratory testing and inspection of all types of materials and products, except medical, see 7120;
Veterinary activities, see 7500;
Health activities for military personnel in the field, see 8422;
Dental practice activities of a general or specialized nature, e.g. dentistry, endodontic and pediatric dentistry; oral pathology, orthodontic activities, see 862;
Private consultantNULLs services to inpatients, see 862;
Medical laboratory testing, see 8690;
Ambulance transport activities, see 8690.",861
"Medical and dental practice activities

This group includes :
Medical consultation and treatment in the field of general and specialized medicine by general practitioners and medical specialists and surgeons
Dental practice activities of a general or specialized nature, e.g. dentistry, endodontic and pediatric dentistry; oral pathology
Orthodontic activities
Family planning centers providing medical treatment such as sterilization and termination of pregnancy, without accommodation.
These activities can be carried out in private practice, group practices and in hospital outpatient clinics, and in clinics such as those attached to firms, schools, homes for the aged, labor organizations and fraternal organizations, as well as in patientNULLs home.
This class also includes :
Dental activities in operating rooms
Private consultants services to inpatients
This class excludes :
Production of artificial teeth, denture and prosthetic appliances by dental laboratories, see 3250;
Inpatient hospital activities, see 861;
Paramedical activities such as those of midwives, nurses and physiotherapists, see 8690.",862
Other human health activities,869
Residential nursing care facilities,871
"Residential care activities for mental retardation, mental health and substance abuse",872
Residential care activities for the elderly and disabled,873
"Other residential care activities, n.e.c.",879
Social work activities without accommodation for the elderly and disabled,881
"Other social work activities without accommodation, n.e.c.",889
"Creative, arts and entertainment activities",900
"Libraries, archives, museums and other cultural activities",910
Gambling and betting activities,920
"Sports activities

This group includes the operation of sports facilities; activities of sports teams or clubs primarily participating in live sports events before a paying audience; independent athletes engaged in participating in live sporting or racing events before a paying audience; owners of racing participants such as cars, dogs, horses, etc. primarily engaged in entering them in racing events or other spectator sports events; sports trainers providing specialized services to support participants in sports events or competitions; operators of arenas and stadiums; other activities of organizing, promoting or managing sports events, n.e.c.",931
"Other amusement and recreation activities

This group includes the activities of a wide range of units that operate facilities or provide services to meet the varied recreational interests of their patrons, including the operation of a variety of attractions, such as mechanical rides, water rides, games, shows, theme exhibits and picnic grounds.
This group excludes :
Sports activities, see group 931;
Dramatic arts, music and other arts and entertainment activities, see 9000.",932
"Activities of business, employers and professional membership organizations

This group includes the activities of units that promote the interests of the members of business and employers organization. In the case of professional membership organizations, it also includes the activities of promoting the professional interests of members of the profession.",941
Activities of trade unions,942
"Activities of other membership organizations

This group includes the activities of units (except business and employers organizations, professional organizations, trade unions) that promote the interests of their members.",949
"Repair of computers and communications equipment

This group includes the repair and maintenance of computers and peripheral equipment and communications equipment.",951
"Repair of personal and household goods

This group includes the repair and servicing of personal and household goods.",952
"Personal services for wellness, except sports activities",961
Laundry services,962
Funeral and related activities,963
Domestic services,964
"Other personal service activities, n.e.c.",969
Activities of households as employers of domestic personnel,970
Undifferentiated goods-producing activities of private households for own use,981
Undifferentiated services-producing activities of private households for own use,982
Activities of extra-territorial organizations and bodies,990
