Group Description,Group Code
Manufacture of metal sanitary ware and plumbing fixtures,25995
"Manufacture of needles (except for knitting and sewing machines), pins and fasteners including zippers",25996
"Manufacture of aluminum window and door screens, shades and venetian blinds",25997
"Manufacture of miscellaneous fabricated metal products, n.e.c.",25999
Manufacture of electronic valves and tubes,26110
Manufacture of sensors,26121
Manufacture of actuators,26122
Manufacture of oscillators,26123
Manufacture of resonators,26124
"Manufacture of semi-conductor  devices and other electronic components, n.e.c.",26129
"Manufacture of computers and peripheral equipment and accessories

This includes the manufacture and/or assembly of various electronic computers, and computer peripheral equipment, such as storage devices and input/output devices (printers, monitors, keyboards). Computers can be analog, digital, or hybrid. Digital computers, the most common type, are devices that do all the following : (1) store the processing program or programs and the data immediately necessary for the execution of the program, (2) can be freely programmed in accordance with the requirements of the user, (3) perform arithmetical computations specified by the user and (4) execute, without human intervention, a processing program that requires the computer to modify its execution by logical decision during the processing run. Analog computers are capable of simulating mathematical models and comprise at least analog control and programming elements.
This class includes :
Manufacture of desktop computers
Manufacture of laptop computers
Manufacture of main frame computers
Manufacture of hand-held computers (e.g. PDA)
Manufacture of magnetic disk drives, flash drives and other storage devices
Manufacture of optical (e.g. CD-RW, CD-ROM, DVD-ROM, DVD-RW) disk drive
Manufacture of printers
Manufacture of monitors
Manufacture of keyboards
Manufacture of all types of mice, joysticks and trackball accessories
Manufacture of dedicated computer terminals
Manufacture of computer servers
Manufacture of scanners, including bar code scanners
Manufacture of smart card readers
Manufacture of virtual reality helmets
Manufacture of computer projectors (video beamers)
Manufacture of computer terminals, like automatic teller machines (ATMNULLs), point-of-scale (POS) terminals, not mechanically operated
Manufacture of multi-function office equipment, such as fax-scanner-copier combinations
This class excludes :
Reproduction of recorded media (computer media, sound, video, etc.), see 1820;
Manufacture of electronic components and electronic assemblies used in computers and peripherals, see 261;
Manufacture of internal/external computer modems, see 261;
Manufacture of interface cards, modules and assemblies, see 261;
Manufacture of modems, carrier equipment, see 2630;
Manufacture of digital communication switches, data communications equipment (e.g. bridges, routers, gateways, see 2630;
Manufacture of consumer electronic devices, such as CD players and DVD players, see 2640;
Manufacture of television monitors and displays, see 2640;
Manufacture of video game consoles, see 2640;
Manufacture of blank optical and magnetic media for use with computers or other devices, see 2680.",26200
"Manufacture of communication equipment

This class includes the manufacture of telephone and data communications equipment used to move signals electronically over wires or through the air such as radio and television broadcast and wireless communications equipment.
This class includes :
Manufacture of central office switching equipment
Manufacture of cordless telephones
Manufacture of private branch exchange (PBX) equipment
Manufacture of telephone and facsimile equipment including telephone answering machines
Manufacture of data communications equipment, such as bridges, routers, and gateways
Manufacture of transmitting and receiving antenna
Manufacture of cable television equipment
Manufacture of pagers
Manufacture of cellular phones
Manufacture of mobile communication equipment
Manufacture of radio and television studio and broadcasting equipment, including television cameras
Manufacture of modems, carrier equipment
Manufacture of burglar and fire alarm systems, sending signals to a control station
Manufacture of radio and television transmitters
Manufacture of infrared devices (e.g. remote controls)
This class excludes :
Manufacture of computers and computer peripheral equipment, see 2620;
Manufacture of consumer audio and video equipment, see 2640;
Manufacture of electronic components and subassemblies used in communications equipment, see 261;
Manufacture of internal/external computer modems (PC-type), see 261;
Manufacture of electronic scoreboards, see 2790;
Manufacture of traffic lights, see 2790.",26300
"Manufacture of consumer electronics

This class includes the manufacture of electronic audio and video equipment for home entertainment, motor vehicle, public address systems and musical instrument amplification.
This class includes :
Manufacture of video cassette recorders and duplicating equipment
Manufacture of televisions
Manufacture of television monitors and displays
Manufacture of audio recording and duplicating systems
Manufacture of stereo equipment
Manufacture of radio receivers
Manufacture of speaker systems
Manufacture of household-type video cameras
Manufacture of jukeboxes
Manufacture of amplifiers for musical instruments and public address systems
Manufacture of microphones
Manufacture of CD and DVD players
Manufacture of karaoke machines
Manufacture of headphones (e.g. radio, stereo, computer)
Manufacture of video game consoles
This class excludes :
Reproduction of recorded media (computer media, sound, video, etc), see 1820;
Manufacture of computer peripheral devices and computer monitors, see 2620;
Manufacture of telephone answering machines, see 2630;
Manufacture of paging equipment, see 2630;
Manufacture of remote control devices (radio and infrared), see 2630;
Manufacture of broadcast studio equipment such as reproduction equipment, transmitting and receiving antennas, commercial video cameras, see 2630;
Manufacture of electronic games with fixed (non-replaceable) software, see 3240.",26400
"Manufacture of radar equipment, radio remote control apparatus",26511
Manufacture of electrical quantities measuring and controlling instruments,26512
Manufacture of temperature measuring and controlling hygrometric instruments,26513
Manufacture of pressure measuring and controlling instruments and gauges,26514
Manufacture of flow of liquids or gases measuring and controlling instruments,26515
"Manufacture of mechanical motion, measuring and controlling, timing and cycle instruments",26516
Manufacture of industrial process control equipment,26517
"Manufacture of professional and scientific and measuring and controlling equipment, n.e.c.",26519
Manufacture of watches and clocks of all kinds including cases of precious metals,26521
"Manufacture of other watch and clocks parts, n.e.c.",26529
Manufacture of X-ray apparatus,26601
Manufacture of electrotherapeutic apparatus,26602
Manufacture of medical laser equipment,26603
"Manufacture of Computerized Tomography (CT) scanner, Positron Emission Tomography (PET) scanner",26604
Manufacture of MRI equipment,26605
Manufacture of medical ultrasound equipment,26606
"Manufacture of other irradiation, electromedical and electrotherapeutic equipment, n.e.c.",26609
Manufacture of optical instruments and lenses,26701
Manufacture of photographic equipment and accessories,26702
"Manufacture of magnetic and optical media

This class includes the manufacture of magnetic and optical recording media, such as : blank magnetic audio and video tapes and cassettes, blank diskettes, blank optical discs and hard drive media.
This class excludes reproduction of recorded media (computer media, sound, video, etc.), see 1820.",26800
Manufacture of electric motors and generators,27111
Manufacture of electrical transformers,27112
Manufacture  of electric generating sets,27113
Manufacture of switch gear  and switchboard apparatus,27121
Manufacture of electricity distribution equipment,27122
"Manufacture of switches, fuses, sockets, plugs, conductors and lightning  arresters and other control apparatus",27123
Manufacture of accumulators (storage batteries) including parts,27201
Manufacture of primary cells and batteries,27202
"Manufacture of fiber optic cables

This class includes manufacture of fiber optic cable for data transmission or live transmission of images
This class excludes :
Manufacture of glass fibers or strand, see 2310;
Manufacture of optical cable sets or assemblies with connectors or other attachments, see depending on application, e.g. 261.",27310
"Manufacture of other electronic and electric wires and cables

This class includes manufacture of insulated wire and cable, made of steel, copper and aluminum.
This class excludes :
Manufacture (drawing) of wire, see 241, 242;
Manufacture of computer cables, printer cables, USB cables and similar cable sets or assemblies, see 2612;
Manufacture of extension cords, see 2790;
Manufacture of cable sets, wiring harnesses and similar cable sets or assemblies for automotive applications, see 2930.",27320
"Manufacture of wiring devices

This class includes the manufacture of current-carrying and non current-carrying wiring devices for electrical circuits regardless of material.
This class includes :
Manufacture of bus bars, electrical conductors (except switchgear-type)
Manufacture of GFCI (ground fault circuit interrupters)
Manufacture of lamp holders
Manufacture of lightning arrestors and coils
Manufacture of switches for electrical wiring (e.g. pressure, pushbutton, snap, tumbler switches)
Manufacture of electrical outlets and sockets
Manufacture of boxes for electrical wiring (e.g. junction outlet, switch boxes)
Manufacture of electrical conduit and fitting
Manufacture of transmission pole and line hardware
Manufacture of plastic non current - carrying wiring devices including plastic junction boxes, face plates, and similar, plastic pole line fittings
This class excludes :
Manufacture of ceramic insulators; see 2393;
Manufacture of electronic component-type connectors sockets, and switches, see 261.",27330
Manufacture of electric lamps fluorescent and fixtures,27401
Manufacture of lighting equipment and parts except for use on cycle and motor equipment,27402
Manufacture of motor vehicle lighting equipment,27403
Manufacture of bicycle lighting equipment,27404
Manufacture of lighting sets used for Christmas trees and the like,27405
Manufacture of domestic electric fans,27501
"Manufacture of domestic-type refrigerators and laundry equipment (e.g. clothes washers, washer-dryers, dryers)",27502
"Manufacture of domestic  cooking appliances (e.g. ovens, ranges, cookers, stoves, grillers, etc.)",27503
"Manufacture of electrothermic domestic appliances (e.g. hair dressing appliances, electric instantaneous storage, heaters, flat-irons, plate warmers, coffee or tea makers)",27504
Manufacture of domestic-type water filters and/or purifiers,27505
"Manufacture of domestic appliances, n.e.c.",27509
"Manufacture of battery chargers, solid state",27901
Manufacture of uninterruptible power supplies (UPS),27902
"Manufacture of appliance cords, extension cords, and other electrical cord",27903
"Manufacture of accelerators (cyclotrons, betatrons)",27904
Manufacture of electrical signalling equipment such as traffic lights and pedestrian signalling equipment,27905
"Manufacture of other electrical equipment, n.e.c.",27909
Manufacture of internal combustion engines (gas and diesel),28111
Manufacture of  engines and turbines for marine propulsion,28112
"Manufacture of parts of engines and turbines, except for aircraft, vehicle and cycle engines",28113
"Manufacture of engines and turbines, except for transport, n.e.c.",28119
"Manufacture of fluid power equipment

This class includes :
Manufacture of hydraulic and pneumatic components (including hydraulic pumps, hydraulic and pneumatic cylinders, hydraulic and pneumatic valves, hydraulic and pneumatic hose and fittings)
Manufacture of air preparation equipment for use in pneumatic systems
Manufacture of fluid power systems
Manufacture of hydraulic transmission equipment
This class excludes :
Manufacture of compressors, see 2813;
Manufacture of pumps and valves for non-fluid power applications, see 2813;
Manufacture of mechanical transmission equipment, see 2814.",28120
"Manufacture of pumps for liquids, vacuum pumps, air or other gas compressors",28131
"Manufacture of taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like",28132
"Manufacture of bearings, gears and driving elements

This class includes :
Manufacture of ball and roller bearings and parts thereof
Manufacture of mechanical power transmission equipment: transmission shafts and cranks: camshafts, crankshafts, cranks etc., bearing housings and plain shaft bearings
Manufacture of gears, gearing and gear boxes and other speed changers
Manufacture of clutches and shaft couplings
Manufacture of flywheels and pulleys
Manufacture of articulated link chain
Manufacture of power transmission chain
This class excludes :
Manufacture of other chain, see 2599;
Manufacture of (electromagnetic) clutches, see 2930;
Manufacture of sub-assemblies of power transmission equipment identifiable as parts of vehicles or aircraft, see divisions 29 and 30.",28140
"Manufacture of ovens, furnaces and furnace burners

This class includes :
Manufacture of electrical and other industrial and laboratory furnaces and ovens, including incinerators
Manufacture of burners
Manufacture of permanent mount electric space heaters, electric swimming pool heaters
Manufacture of permanent mount non-electric household heating equipment, such as solar heating, steam heating, oil heat and similar furnaces and heating equipment
Manufacture of electric household-type furnaces (electric forced air furnaces, heat pumps, etc.), non-electric household forced air furnaces
This class also includes the manufacture of mechanical stokers, grates, ash discharges, etc.
This class excludes :
Manufacture of household ovens, see 2750;
Manufacture of agricultural dryers, see 2825;
Manufacture of bakery ovens, see 2825;
Manufacture of dryers for wood, paper pulp, paper or paperboard, see 2829;
Manufacture of medical, surgical or laboratory sterilizers, see 3250;
Manufacture of (dental) laboratory furnaces, see 3250.",28150
"Manufacture of lifting and hoisting machinery, cranes, elevators, industrial trucks, tractors, stackers, specialized ports for lifting and handling equipment",28161
"Manufacture of derricks, lifting and handling equipment for construction and mining",28162
"Manufacture of marine capstans, pulley tackle and hoists, etc.",28163
"Manufacture of other lifting and handling equipment, n.e.c.",28169
"Manufacture of calculating machines, adding machines, cash registers, calculators",28171
Manufacture of bills/coin counting and coin wrapping machinery,28172
"Manufacture of postage meters, mail handling machines (envelope stuffing, sealing and addressing machinery, opening, sorting, scanning), collating machinery",28173
Manufacture of typewriters,28174
Manufacture of duplicating machines,28175
Manufacture of photo-copying apparatus incorporating an optical system or of the contact type and thermo copying apparatus,28176
Manufacture of other office and accounting machineries,28177
"Manufacture of other office machinery and equipment (except computers and peripheral equipment), n.e.c.",28179
"Manufacture of power-driven hand tools

This class includes the manufacture of hand tools, with self-contained electric or non-electric motor or pneumatic drive, such as : circular or reciprocating saws, drills and hammer drills, hand held power sanders, pneumatic nailers, buffers, routers, grinders, staplers, pneumatic rivet guns, planers, shears and nibblers, impact wrenches, and powder actuated nailers.
This class excludes the manufacture of electrical hand-held soldering and welding equipment, see 2790.",28180
Manufacture of weighing machines except scientific weighing apparatus used for laboratories,28191
Manufacture of refrigerating or freezing equipment for commercial purposes,28192
Manufacture of unit air-conditioners,28193
Manufacture of packing and wrapping machinery,28194
Manufacture of machinery for cleaning or drying bottles or other containers or for aerating beverages,28195
"Manufacture of fans intended for industrial applications, exhaust hoods for commercial, laboratory or industrial use",28196
Manufacture of calendering or other rolling machines other than for metals or glass,28197
"Manufacture of gas or electric welding, brazing or soldering machines",28198
"Manufacture of other general-purpose machinery, n.e.c. (including manufacture of specialized parts for general purpose machinery and equipment)",28199
Manufacture of farm tractors,28211
Manufacture of mechanical implements for crop production,28212
Manufacture of animal husbandry machinery and equipment,28213
"Manufacture of agricultural and forestry machinery and equipment, n.e.c.",28219
Manufacture of machine tools for working metal,28221
Manufacture of machine tools and accessories including precision measuring tools,28222
Parts and accessories for the machine tools classified in this group,28223
"Manufacture of apparatus for electroplating, electrolysis and electrophoresis",28224
"Manufacture of metal-forming machinery and machine tools, n.e.c.",28229
"Manufacture of machinery for metallurgy

This class includes :
Manufacture of machines and equipment for handling hot metals : converters, ingot molds, ladles, casting machines
Manufacture of metal-rolling mills and rolls for such mills
This class excludes :
Manufacture of draw-benches, see 2822;
Manufacture of molding boxes and molds (except ingot molds), see 2593;
Manufacture of machines for forming foundry molds, see 2829.",28230
Manufacture of heavy machinery and equipment used for mining and quarrying,28241
Manufacture of heavy machinery and equipment used for construction,28242
Manufacture of machinery for food processing,28251
"Manufacture of presses, crushers and similar machinery used to make wine, cider, fruit juices or similar beverages",28252
"Manufacture of machinery for the preparation of tobacco and for the making of cigarettes or cigars, or pipe or chewing tobacco or snuff",28253
Manufacture of textile machinery,28261
Manufacture of machineries for man-made textile fibers or yarns,28262
Manufacture of sewing machines,28263
"Manufacture of commericial washing, laundry, dry-cleaning and pressing machines",28264
"Manufacture of needles for knitting, sewing machines",28265
"Manufacture of machinery for textile apparel and leather production, n.e.c.",28269
"Manufacture of machinery for pulp, paper and paperboard industries",28291
Manufacture of machinery for working rubber or plastic or for the manufacture of products of these materials,28292
Manufacture of printing-trade machinery and equipment,28293
"Manufacture of machinery for producing tiles, bricks, shaped ceramic pastes, pipes, graphite, electrodes, blackboard chalk, foundry molds, etc.",28294
Manufacture of machines for production or hot-working of glass; glassware or yarn,28295
Manufacture of centrifugal clothes driers,28296
"Manufacture of other special-purpose machinery, n.e.c.",28299
"Manufacture of motor vehicles

This class includes :
Manufacture of passenger cars
Manufacture of commercial vehicles : vans, lorries, over-the-road tractors for semi-trailers, etc.
Manufacture of buses, trolley-buses and coaches
Manufacture of motor vehicle engines
Manufacture of chassis fitted with engines
Manufacture of other motor vehicles : snowmobiles, golf carts, amphibious vehicles; fire engines, street sweepers, travelling libraries, armored cars, etc.; concrete-mixer lorries
This class also includes factory rebuilding of motor vehicle engines
This class excludes :
Manufacture of lighting equipment for motor vehicles, see 2740;
Manufacture of pistons, piston rings and carburetors, see 2811;
Manufacture of agricultural tractors, see 2821;
Manufacture of tractors used in construction and mining, see 2824;
Manufacture of off-road dumping trucks, see 2824;
Manufacture of bodies for motor vehicles, see 2920;
Manufacture of electrical parts for motor vehicles, see 2930;
Manufacture of parts and accessories for motor vehicles, see 2930;
Manufacture of tanks and other military fighting vehicles, see 3040;
Maintenance, repair and alteration of motor vehicles, see 4520.",29100
Manufacture of bodies (coachwork) for motor vehicles,29201
Manufacture of trailers and semi-trailers,29202
Manufacture of electric ignition or starting equipment for internal combustion engines,29301
Manufacture of parts and accessories for motor vehicles and their engines,29302
Building of ships and boats other than sports and pleasure boats,30111
Manufacture of floating or submersible drilling platforms,30112
Manufacture of inflatable rafts,30113
Manufacture of metal sections for ships and barges,30114
Manufacture of inflatable boats,30121
"Manufacture of other pleasure and sporting boats, n.e.c.",30129
"Building and rebuilding of locomotives of any type of gauge, and railroad and tramway cars for freight and passenger service",30201
"Production of specialized parts for locomotives, railroad and tramway",30202
"Manufacture of  airplanes for the transport of goods or passengers, for use by the defense forces, for sport or other purposes",30301
"Manufacture of spacecraft and launch vehicles, satellites, planetary probes, orbital, shuttles",30302
"Conversion, modification and overhaul of aircrafts",30303
"Manufacture of other air and spacecraft and related machinery, n.e.c.",30309
"Manufacture of military fighting vehicles

This class includes :
Manufacture of tanks
Manufacture of armored amphibious military vehicles
Manufacture of other military fighting vehicles
This class excludes manufacture of weapons and ammunitions, see 2520.",30400
Manufacture and assembly of motorcycles,30911
Manufacture of motorcycle engines and parts thereof,30912
Manufacture of tricycles and parts thereof,30913
Manufacture of side cars,30914
Manufacture of parts and accessories of motorcycles,30915
Manufacture of bicycles and bicycle parts,30921
"Manufacture of invalid carriages, motorized and non-motorized",30922
Manufacture of baby carriages,30923
Manufacture of hand-propelled vehicles,30991
Manufacture of animal drawn vehicles,30992
Manufacture of wood furniture,31010
"Manufacture of rattan furniture (reed, wicker, and cane)",31020
Manufacture of box beds and mattresses,31030
"Manufacture of partitions, shelves, lockers and office and store fixtures",31040
Manufacture of plastic furniture,31050
Manufacture of furniture and fixtures of metal,31060
"Manufacture of other furniture and fixtures, n.e.c.",31090
Manufacture of jewelry made of precious and semi-precious stones,32111
Manufacture of silverware and plated ware,32112
Manufacture of watchbands and bracelets of precious metals,32113
Manufacture of articles related to jewelry,32119
"Manufacture of imitation of jewelry and related articles

This class includes :
Manufacture of costume or imitation jewelry :
rings, bracelets, necklaces, and similar articles of jewelry made from base metals plated with precious metals; jewelry containing imitation stones such as imitation gems stones, imitation diamonds, and similar articles
Manufacture of metal watch bands (except precious metals)
This class excludes :
Manufacture of jewelry made from precious metals or clad with precious metals, see 3211;
Manufacture of jewelry containing genuine gem stones, see 3211;
Manufacture of precious metal watch bands, see 3211.",32120
Manufacture of guitars,32201
"Manufacture of string instruments, other than guitars",32202
Manufacture of pianos,32203
Manufacture of musical organs (all types),32204
Manufacture of wind and percussion instruments,32205
Manufacture of musical instrument parts and accessories,32206
"Manufacture of musical instruments, n.e.c.",32209
Manufacture of sporting gloves and mitts,32301
Manufacture of sporting balls,32302
"Manufacture of sporting and athletic goods, n.e.c.",32309
Manufacture of dolls and doll garments,32401
Manufacture of wheeled toys,32402
"Manufacture of billiard, pool, bowling alley and similar games equipment",32403
"Manufacture of electronic games (video games, checkers)",32404
"Manufacture of toys and games, n.e.c.",32409
"Manufacture of medical, surgical, dental furniture and fixtures",32501
"Manufacture of ophthalmic goods, eyeglasses, sunglasses, lenses ground to prescription, contact lenses, safety goggles",32502
"Manufacture of prosthetic appliances, artificial teeth made to order",32503
Manufacture of medical and precision instruments,32504
Manufacture of  medical thermometers,32505
Manufacture of cement used in dentistry,32506
"Manufacture of other medical and dental instruments and supplies, n.e.c.",32509
Manufacture of pens and pencils of all kinds,32910
"Manufacture of umbrellas, walking sticks, canes, whips and riding crops",32920
"Manufacture of articles for personal use, e.g. smoking pipes, combs, slides and similar articles",32930
Manufacture of candles,32940
"Manufacture of artificial flowers, fruits and foliage",32950
Manufacture of wooden coffin,32961
Manufacture of metal coffin,32962
"Manufacture of buttons, except plastic",32991
"Manufacture of brooms, brushes and fans",32992
"Manufacture of identification plates, badges, emblems and tags",32993
Manufacture of signs and advertising displays,32994
Manufacture of cigarette lighters,32995
"Manufacture of miscellaneous articles, n.e.c.",32999
"Repair of fabricated metal products

This class includes repair and maintenance of fabricated metal products of division 25.
This class includes :
Repair of metal tanks, reservoirs and containers
Repair and maintenance for pipes and pipelines
Mobile welding repair
Repair of steel shipping drums
Repair and maintenance of steam or other vapor generators
Repair and maintenance of auxiliary plant for use with steam generators : condensers, economizers, superheaters, steam collectors and accumulators
Repair and maintenance of nuclear reactors, except isotope separators
Repair and maintenance of parts for marine or power boilers
Platework repair of central heating boilers and radiators
Repair and maintenance of fire arms and ordinance (including repair of sporting and recreational guns)
This class excludes :
Repair of central heating systems, etc., see 4322;
Repair of mechanical locking devices, safe, etc., see 8020.",33110
"Repair of machinery

This class includes repair and maintenance of industrial machinery and equipment like sharpening or installing commercial and industrial machinery blades and saws or the provision of welding (e.g. automotive, general) repair services; the repair of agricultural and other heavy and industrial machinery and equipment (e.g. forklifts and other materials handling equipment, machine tools, commercial refrigeration equipment, construction equipment and mining machinery), comprising machinery and equipment of division 28.
This class includes :
Repair and maintenance of non-automotive engines, e.g. ship or rail engines
Repair and maintenance of pumps and related equipment
Repair and maintenance of fluid power equipment
Repair of valves
Repair of gearing and driving elements
Repair and maintenance of industrial process furnaces
Repair and maintenance of materials handling equipment
Repair and maintenance of commercial refrigeration equipment and air purifying equipment
Repair and maintenance of commercial-type general purpose machinery
Repair of other power-driven hand-tools
Repair and maintenance of metal cutting and metal forming machine tools and accessories
Repair and maintenance of other machine tools
Repair and maintenance of agricultural tractors
Repair and maintenance of agricultural machinery and forestry and logging machinery
Repair and maintenance of metallurgy machinery
Repair and maintenance of mining, construction and oil and gas field machinery
Repair and maintenance of food, beverage, and tobacco processing machinery
Repair and maintenance of textile apparel, and leather production machinery
Repair and maintenance of papermaking machinery
Repair and maintenance of other special purpose machinery of division 28
Repair and maintenance of weighing equipment
Repair and maintenance of vending machines
Repair and maintenance of cash registers
Repair and maintenance of photocopy machines
Repair of calculators, electronic or not
Repair of typewriters
This class excludes installation, repair and maintenance of furnace and other heating equipment, see 4322.",33120
"Repair of electronic and optical equipment

This class includes repair and maintenance of goods produced in groups 265, 266 and 267, except those that are considered household goods.
This class includes the repair and maintenance of the measuring, testing, navigating and control equipment of group 265, such as:
aircraft engine instruments
automotive emissions testing equipment
meteorological instruments
physical, electrical and chemical properties testing and inspection equipment
surveying instruments
radiation detection and monitoring instruments
Repair and maintenance of irradiation, electromedical and electrotherapeutic equipment of class 2660 such as:
magnetic resonance imaging equipment
medical ultrasound equipment
pacemakers
hearing aids
electrocardiographs
electromedical endoscopic equipment
irradiation apparatus
Repair and maintenance of optical instruments and equipment of class 2670, if the use is mainly commercial, such as:
binoculars
microscopes (except electron and proton microscopes)
telescopes
prisms and lenses (except ophthalmic)
photographic equipment
This class includes the repair of optical instruments and equipment of class 2670, such as: binoculars, microscopes (except electron proton) telescopes, prisms, and lenses (except ophthalmic) and photographic equipment, if the use is mainly commercial.
This class excludes :
Repair and maintenance of photocopy machines, see 3312;
Repair and maintenance of computers and peripheral equipment, see 9511;
Repair and maintenance of computer projectors, see 9511;
Repair and maintenance of communication equipment, see 9512;
Repair and maintenance of commercial TV and video cameras, see 9512;
Repair of household-type video cameras, see 9521;
Repair of watches and clocks, see 9529.",33130
"Repair of electrical equipment

This class includes the repair and maintenance of goods of division 27, except in class 2750 (domestic appliances).
This class includes :
Repair and maintenance of power, distribution, and specialty transformers
Repair and maintenance of electric motors, generators, and motor generator sets
Repair and maintenance of switchgear and switchboard apparatus
Repair and maintenance of relays and industrial controls
Repair and maintenance of primary and storage batteries
Repair and maintenance of electric lighting equipment
Repair and maintenance of current-carrying wiring and non current-carrying wiring devices for wiring electrical circuits
This class excludes :
Repair and maintenance of computers and peripheral computer equipment, see 9511;
Repair and maintenance of telecommunications equipment, see 9512;
Repair and maintenance of consumer electronics, see 9521;
Repair of watches and clocks, see 9529.",33140
Repairing of ships and boats other than sports and pleasure boats,33151
Repairing of sports and pleasure boats,33152
Repairing of aircraft,33153
Repair and maintenance of aircraft engines,33154
"Repair of transport equipment, except motor vehicles, n.e.c.",33159
"Repair of other equipment

This class includes the repair and maintenance of equipment not covered in other groups of this division.
This class includes :
Repair or ropes, riggings, canvas and tarps
Repair of fertilizer and chemical storage bags
Repair or reconditioning of wooden pallets, shipping drums or barrels, and similar items
Repair of pinball machines and other coin-operated games
Restoring of organs and other historical musical instruments
This class excludes :
Repair of household and office type furniture, furniture restoration, see 9524;
Repair of bicycles and invalid carriages, see 9529;
Repair and alteration of clothing, see 9529.",33190
"Installation of industrial machinery and equipment

This class includes the specialized installation of machinery. However, the installation of equipment that forms an integral part of building or similar structures, such as installation of escalators, electrical wiring, burglar alarm systems or air-conditioning systems, is classified as construction.
This class includes :
Installation of industrial machinery in industrial plant
Installation of industrial process control equipment
Installation of other industrial equipment, e.g. :
communication equipment
mainframe and similar computers
irradiation and electromedical equipment, etc.
Dismantling large-scale machinery and equipment
Activities of millwrights
Installation of bowling alley equipment
Machine rigging
This class excludes:
Installation of electrical wiring, burglar alarm systems, see 4321;
Installation of air-conditioning system, see 4322;
Installation of elevators, escalators, automated doors, vacuum cleaning systems etc., see 4329;
Installation of doors, staircases, shop fittings, furniture, etc., see 4330;
Installation (setting-up) of personal computers, see 6209.",33200
Electric power generation,35101
Electric power transmission,35102
Electric power distribution,35103
"Manufacture of gas; distribution of gaseous fuels through mains

This class includes the manufacture of gas and the distribution of natural or synthetic gas to the consumer through a system of mains. Gas marketers or brokers, which arrange the sale of natural gas over distribution systems operated by others, are included.
The separate operation of gas pipelines, typically done over long distances, connecting producers, with distribution of gas, or between urban centers, is excluded from this class and classified with other pipeline transport activities.
This class includes :
Production of gas for the purpose of gas supply by carbonation of coal, from by-products of agriculture or from waste
Manufacture of gaseous fuels with a specified calorific value, by purification, blending and other processes from gases of various types including natural gas
Transportation, distribution and supply of gaseous fuels of all kinds through a system of mains
Sale of gas to the user through mains
Activities of gas brokers or agents that arrange the sale of gas over gas distribution systems operated by others
Commodity and transport capacity exchanges gaseous fuels
This class excludes :
Operation of coke ovens, see 1910;
Manufacture of refined petroleum products, see 1920;
Manufacture of industrial gases, see 2011;
Wholesale of gaseous fuels, see 4661;
Retail sale of bottled gas, see 4773;
Direct selling of fuel, see 4799;
(Long distance) tranportation of gases by pipelines, see 4930.",35200
"Steam, air conditioning supply and production of ice

This class includes :
Production, collection and distribution of steam and hot water for heating, power and other purposes
Production and distribution of cooled air
Production of ice for cooling purposes
This excludes production of ice for human consumption, see 1079.",35300
"Water collection, treatment and supply

This class includes water collection from various sources, treatment and distribution activities by various means of domestic and industrial needs. Collection of water from various sources, as well as distribution by various means is included.
The operation of irrigation canals is also included, however the provision of irrigation services through sprinklers, and similar agricultural support services, is not included.
This class includes :
Collection of water from rivers, lakes, wells, etc.
Collection of rain water
Purification of water from water supply purposes
Treatment of water for industrial and other purposes
Distribution of water through mains, by trucks or other means
Desalting of sea or ground water to produce water as the principal product of interest
Operation of irrigation canals
This class excludes :
Operation of irrigation equipment for agricultural purposes, see 0151;
Treatment of wastewater in order to prevent pollution, see 3700;
(Long distance) transport of water via pipelines, see 4940.",36000
"Sewerage

This class includes :
Operation of sewer systems or sewer treatment facilities
Collecting and transporting of human or industrial wastewater from one or several users, as well as rain water by means of sewerage networks, collectors, tanks and other means of transport (sewage vehicles, etc.)
Emptying and cleaning of cesspools and septic tanks, sinks and pits from sewage; servicing of chemicals toilets
Treatment of wastewater (including human and industrial wastewater, water from swimming pool, etc.) by means of physical, chemical and biological processes like, dilution, screening, filtering, sedimentation etc.
Maintenance and cleaning of sewers and drains, including sewer rodding",37000
"Collection of non-hazardous waste

This class includes :
Collection of non-hazardous solid waste (i.e. garbage) within a local area, such as collection of waste from households and businesses by means of refuse bins, wheeled bins, containers, etc. may include mixed recoverable materials.
Collection of recyclable materials 
Collection of used cooking oils and fats
Collection of refuse in litter-bins in public places
Collection  of construction and demolition waste
Collection and removal of debris such as brush and rubble
Collection of waste output of textile mills
Operation of waste transfer stations for non-hazardous waste
This class excludes :
Collection of hazardous waste, see 3812;
Operation of landfills for the disposal of non-hazardous waste, see 3821;
Operation of facilities where commingled recoverable materials such as paper, plastics, etc. are sorted into distinct categories, see 3830",38110
"Collection of hazardous waste

This class includes the collection of solid and non-solid hazardous waste, i.e., explosive, oxidizing, flammable, toxic, irritant, carcinogenic, corrosive, infectious and other substances and preparations harmful for human health and environment. It may also entail identification, treatment, packaging and labeling of waste for purposes of transport.
This class includes :
Collection of hazardous waste such as :
used oil from shipment or garages
bio hazardous waste
used batteries
Operation of waste transfer stations for hazardous waste
This class excludes remediation and clean up of contaminated buildings, mine sites, soil, ground water, e.g. asbestos removal, see 3900.",38120
